Module,ArtifactType,PathOrExactScope,CurrentResponsibility,ExistingDependencies,ReverseOrCrossBoundaryDependency,MoveNow,RequiredInterfaceOrAction,Owner,Risk
Foundation/Core,Source,Assets/DragonBound/Runtime/Core/*.cs,Match state wave scheduling settlement snapshots diagnostics,"Combat; Grid; Recruitment; AI; Items; Runes",Core constructs concrete services,No,Foundation.Contracts + IWaveRuntime + settlement ports,Core Loop,High
Match/Waves,Source,Assets/DragonBound/Runtime/Core/TwentyWavePressureRuntime.cs; PressureRaceSideRuntime.cs; WaveSystem.cs; TwentyWavePressureConfiguration.cs,Production W1-W20 schedule and side ticking,"Core; Grid; Combat; Recruitment; Items; Runes",Direct construction of all side services,No,IMatchSide/IWaveSpawner/IEnemyGoalSettlement,Core Loop,High
Board/Deployment,Source,Assets/DragonBound/Runtime/Grid/*.cs,Board cells layout side transforms drag contracts,"Core; Combat",BoardGrid uses Core TeamSide and CombatPoint,Partial,Board.Contracts and side-local coordinate port,Board,High
Recruitment/Merge,Source,Assets/DragonBound/Runtime/Recruitment/*.cs,Decks finite bags recruit transactions PairLink and merge,"Grid; Core; Combat; Runes",Creates HeroCombatState and Rune-aware operations,No,IRecruitDestination/IHeroPairFactory/IRecruitmentEvents,Recruitment,High
Combat/Targeting,Source,Assets/DragonBound/Runtime/Combat/*.cs,Basic stats Hero combat skills targeting hazards,"Core; Grid; Recruitment; Runes",HeroCombatState reads concrete Core EnemyRuntime and Rune definitions,No,Combat.Contracts + ICombatTarget/IDamageSink/IModifierPipeline,Combat,High
Heroes/XP/Skills,Source,Hero types in Assets/DragonBound/Runtime/Combat/HeroSliceCatalog.cs; Recruitment/FrozenHeroConfiguration.cs; Core/HeroXpSettlement.cs,Hero catalog progression skill scaling XP last-hit,"Combat; Recruitment; Core",Truth split across three domains,No,Heroes.Contracts + HeroProgression/Skill/Xp ports,Heroes,High
Enemies/Path,Source,Assets/DragonBound/Runtime/Core/EnemyRuntime.cs; EnemyPath.cs; PathDisplacementSystem.cs,Enemy lifecycle path progress movement damage,"Core; Combat; Grid",Boss and settlement branches embedded in Core,No,Enemies.Contracts + lifecycle/path/goal ports,Enemies,High
Bosses/Summons,Source,Assets/DragonBound/Runtime/Core/SoulchainBinderRuntime.cs; W6* files; Boss branches in TwentyWavePressureRuntime.cs,W6 Soulchain Binder and diagnostic calibration,"Core; Combat; Grid; Recruitment",No Boss interface or independent spawn policy,No,IBossDefinition/IBossRuntime/IBossCastEvent, Bosses,High
AI,Source,Assets/DragonBound/Runtime/AI/*.cs,Recruit deploy merge and survival diagnostics,"Core; Grid; Combat; Recruitment",Mutates concrete BoardRecruitDestination and reads Hero rules,No,IAiDecisionContext/IAiDeploymentPolicy,AI,High
Items,Source,Assets/DragonBound/Runtime/Items/*.cs,20-item catalog profile loadout snapshot and two effects,"Core",ItemRunContext owns concrete TeamState/EnemyRegistry,Partial,Item.Contracts + IItemEffectRuntime/IItemLedger,Items,Medium
Runes,Source,Assets/DragonBound/Runtime/Runes/*.cs,Rune catalog persistence loadout drops combat modifiers,"Core; Recruitment; Combat",HeroCombatState calls Rune types and persistence captures Core snapshot,No,Rune.Contracts + IRuneModifier/IRuneRepository,Runes,High
