Classification,FilePath,ClassName,CurrentResponsibility,Dependencies,BlackClockConcept,DragonBoundModule,EstimatedChange,ExistingTests,MigrationRisk
B,Assets/BlackClockAlpha/Runtime/Contracts/DiagnosticsContracts.cs,ITelemetry; IRunRandom,Defines telemetry and deterministic random ports,System; BlackClock.Alpha.Contracts,No direct gameplay concept; namespace only,GameShared/Diagnostics,Rename namespace and split from frozen gameplay contracts,RunSeedAndRunRandomTests; JsonlTelemetrySchemaTests,Low
D,Assets/BlackClockAlpha/Runtime/Contracts/ContractTypes.cs,RunPhase; ItemSnapshot; WorkbenchSnapshot; InfectionSnapshot; BellSnapshot; etc,Defines all Alpha value objects and events,System; collections,RunPhase; Supply; Core Slot; Infection; Bell; Lumen,Core/Contracts,Do not copy; define new DragonBound snapshots and remove forbidden concepts,None in isolation; consumed by many tests,Very high
D,Assets/BlackClockAlpha/Runtime/Contracts/GameplayContracts.cs,IMergeResolver; IWorkbench; ISupplyDesk; ICoreSlot; IWaveController; IInfection; IBell; IRunController; IDeployment,Defines frozen Alpha gameplay interfaces,System; BlackClock.Alpha.Contracts,Supply; Core Slot; Infection; Bell; Lumen; Alpha phase,Core/Contracts,Do not copy; create DragonBound contracts from required flows,None in isolation; contract consumers covered elsewhere,Very high
B,Assets/BlackClockAlpha/Runtime/Random/RandomCallRecord.cs,IRandomCallRecorder; NullRandomCallRecorder; RandomCallRecord; RandomCallTelemetryPayload,Carries deterministic random call facts,System; Telemetry schema,No direct business concept,GameShared/Random,Rename namespace and payload event binding,RunSeedAndRunRandomTests; RandomCallTelemetryTests,Low
B,Assets/BlackClockAlpha/Runtime/Random/RunRandom.cs,RunRandom,PCG32 deterministic integer/unit random with call index,Contracts; Telemetry,No direct business concept,GameShared/Random,Namespace and recorder dependency only,RunSeedAndRunRandomTests; RuntimeRandomSourcePolicyTests; RandomCallTelemetryTests,Low
B,Assets/BlackClockAlpha/Runtime/Random/RunSeed.cs,RunSeed,Creates fixed or cryptographic seed and one run random instance,System.Security.Cryptography; IRunRandom,No direct business concept,GameShared/Random,Namespace and target interface rename only,RunSeedAndRunRandomTests,Low
B,Assets/BlackClockAlpha/Runtime/Random/TelemetryRandomCallRecorder.cs,TelemetryRandomCallRecorder,Records random calls through a telemetry session,TelemetrySession; RunSnapshot,Uses Alpha phase/snapshot,GameShared/Diagnostics,Replace snapshot and event schema with DragonBound,RandomCallTelemetryTests,Medium
B,Assets/BlackClockAlpha/Runtime/Diagnostics/DiagnosticAccessPolicy.cs,DiagnosticAccessPolicy,Development-build gate for diagnostic commands,System; OperationResult,No direct business concept,GameShared/Diagnostics,Namespace and result contract rename,DiagnosticPanelBoundaryTests; DiagnosticPresetTests,Low
D,Assets/BlackClockAlpha/Runtime/Diagnostics/DiagnosticPanelController.cs,DiagnosticPanelController,Restarts an Alpha run from diagnostic infection preset,IRunController; DiagnosticPresetDefinition,Infection; Alpha run,Diagnostics UI,Rewrite around DragonBound presets; file contains forbidden diagnostic meaning,DiagnosticPanelBoundaryTests,High
D,Assets/BlackClockAlpha/Runtime/Diagnostics/DiagnosticPresetCatalog.cs,DiagnosticPresetCatalog,Validates exactly three 0/35/65 infection presets,UnityEngine; DiagnosticPresetDefinition,Infection; BlackClock diagnostic values,Diagnostics UI,Rewrite preset schema and values,DiagnosticPresetTests,High
D,Assets/BlackClockAlpha/Runtime/Diagnostics/DiagnosticPresetDefinition.cs,DiagnosticPresetIds; DiagnosticPresetDefinition; DiagnosticRunDescriptor,Stores initial infection and Alpha run descriptor,UnityEngine; StartRunCommand,Infection; Alpha run,Diagnostics UI,Rewrite descriptor and remove infection field,DiagnosticPresetTests; DiagnosticPanelBoundaryTests,High
D,Assets/BlackClockAlpha/Runtime/Diagnostics/DiagnosticReadout.cs,DiagnosticReadout,Projects Alpha phase/infection/supply/bell values for a panel,Contracts,Infection; Supply; Bell,Diagnostics UI,Rewrite all fields for DragonBound readout,No direct runtime test; covered by preset/panel tests,High
B,Assets/BlackClockAlpha/Runtime/Diagnostics/DiagnosticsAssemblyInfo.cs,assembly InternalsVisibleTo,Exposes internals to Alpha test assemblies,Runtime compiler,Alpha assembly names,GameShared/Tests,Change friend assembly names,All EditMode/PlayMode tests,Low
B,Assets/BlackClockAlpha/Runtime/Telemetry/JsonlTelemetry.cs,JsonlTelemetry,Writes serialized telemetry and isolates writer exceptions,ITelemetry; writer; serializer,Only Alpha event context through dependency,GameShared/Telemetry,Use DragonBound context/schema,JsonlTelemetrySchemaTests; TelemetryFailureIsolationTests,Low
B,Assets/BlackClockAlpha/Runtime/Telemetry/TelemetryJsonSerializer.cs,TelemetryJsonSerializer; TelemetryEnvelope,Validates serializable payload and emits one JSON line,UnityEngine.JsonUtility; TelemetrySchema; TelemetryContext,Alpha phase/context fields,GameShared/Telemetry,Replace envelope context and event schema,JsonlTelemetrySchemaTests; TelemetryFailureIsolationTests,Medium
B,Assets/BlackClockAlpha/Runtime/Telemetry/TelemetryLineWriter.cs,ITelemetryLineWriter; FileTelemetryLineWriter,Append/flush/dispose UTF-8 JSONL file,System.IO,No direct business concept,GameShared/Telemetry,Namespace only,TelemetryFailureIsolationTests; TelemetryPathResolverTests,Low
B,Assets/BlackClockAlpha/Runtime/Telemetry/TelemetryPathResolver.cs,TelemetryPathResolver,Resolves PC project Logs/BlackClockAlpha and Android persistent paths,UnityEngine; System.IO,BlackClockAlpha directory name; platform policy,GameShared/Telemetry,Change directory and platform policy,TelemetryPathResolverTests,Low
D,Assets/BlackClockAlpha/Runtime/Telemetry/TelemetrySchema.cs,TelemetrySchema,Declares Alpha event names including supply infection bell,UnityEngine-free,Supply; Infection; Bell; Alpha event schema,GameShared/Telemetry,Extract only generic events and write a new schema,JsonlTelemetrySchemaTests; RandomCallTelemetryTests,High
B,Assets/BlackClockAlpha/Runtime/Telemetry/TelemetrySession.cs,TelemetrySession,Adds monotonically increasing sequence and Alpha context to records,ITelemetry; RunPhase; TelemetryContext,Alpha phase and run context,GameShared/Telemetry,Replace phase/context types,JsonlTelemetrySchemaTests; RandomCallTelemetryTests,Medium
B,Assets/BlackClockAlpha/Runtime/Data/DefinitionCatalogValidator.cs,DefinitionCatalogErrorCodes; DefinitionCatalogValidator,Validates item and recipe references and pairs,ItemDefinition; MergeRecipeDefinition; OperationResult,AlphaEnabled and ItemKind/Unit identity semantics,DragonBound/Data,Rewrite validation fields and error namespace,DefinitionCatalogValidationTests,Medium
D,Assets/BlackClockAlpha/Runtime/Data/AlphaDefinitionIds.cs,AlphaItemIds; AlphaProfessionIds; AlphaUnitIds; AlphaRecipeIds,Centralizes BlackClock item/profession/unit/recipe IDs,None,Alpha item/profession/unit/recipe IDs,All DragonBound data,Do not copy; create DragonBound IDs,RecipeMergeResolverTests; catalog tests,High
B,Assets/BlackClockAlpha/Runtime/Data/ItemDefinition.cs,ItemDefinition,ScriptableObject item id/kind/tier,UnityEngine; ItemKind,Doctor/equipment/unit kinds are Alpha vocabulary,DragonBound/Data,Rename kind schema and menu,DefinitionCatalogValidationTests; RecipeMergeResolverTests,Medium
